,death,predicted_death,lower_bound,upper_bound,infected,symptomatic,hospitalized,confirmed,ICU,hospital_beds
2020-05-22,96295.0,82772.38239039543,52445.27681660525,154294.74662638234,25549240.32625857,2474188.6909910934,528797.1908196654,1608612.0,7846.346098276028,28099.776678137237
2020-05-23,97405.0,83405.95155556755,52570.12842416362,157509.84249024,25646049.410467215,2488145.842404309,531780.1898471959,1630439.0,7603.360748976246,27229.583856425827
2020-05-24,98038.0,84019.90037478796,52686.73897550254,160742.25283642372,25739860.514616456,2501670.769280283,534670.8114736294,1651228.0,7367.900160786258,26386.33913311505
2020-05-25,98540.0,84614.83645018826,52795.65152673338,163992.09805456133,25830766.480039414,2514776.8567321408,537471.9164388304,1670198.0,7139.73130718854,25569.20798051254
2020-05-26,99238.0,85191.34856770019,52897.37346280815,167259.49773710177,25918857.272962324,2527477.075363333,540186.2768913794,1689046.0,6918.628378021935,24777.381714547948
2020-05-27,100743.0,85750.00727975502,52992.37882526597,170544.57079488123,26004220.073540725,2539783.9941041516,542816.5791320642,1707412.0,6704.372556005819,24010.076694448675
2020-05-28,101936.0,86291.36546993793,53081.11049029239,173847.4355612626,26086939.362138394,2551709.7926507313,545365.4262724117,1730248.0,6496.751800184856,23266.53354719992
2020-05-29,103112.0,86815.95890015608,53163.98220637386,177168.2098862147,,2563266.273518837,547835.3408108893,1754736.0,6295.560636079975,22546.016416021663
2020-05-30,104053.0,87324.30674086222,53241.38050031206,180507.0112215119,,2574464.8737243717,550228.767129327,1778982.0,6100.599952338025,21847.812232118864
2020-05-31,104658.0,87816.91208485808,53313.666459862885,183863.9566980764,,2585316.6761021623,552548.0739120314,1799111.0,5911.676803678703,21171.230008983963
2020-06-01,105429.0,88294.26244518656,53381.17740078522,187239.16319635123,,2595832.420274226,554795.5564899822,1816465.0,5728.604219943846,20515.600158553403
2020-06-02,106460.0,88756.83023760509,53444.22842562563,190632.7474104784,,2606022.513278371,556973.4391124367,1837356.0,5551.201021060086,19880.27382854152
2020-06-03,107443.0,89205.07324811775,53503.11388112756,194044.8259069569,,2615897.039867653,559083.8771481852,1857237.0,5379.291637731716,19264.622260295648
2020-06-04,108478.0,89639.43508602901,53558.10872073766,197475.51517837323,,2625465.7724908753,561128.9592186386,1878532.0,5212.705937686334,18668.036166537328
2020-06-05,109448.0,90060.34562296713,53609.4697782871,200924.93169272336,,2634738.1809640173,563110.7092648591,1903843.0,5051.279057301325,18089.925128373496
2020-06-06,110123.0,90468.22141831204,53657.436958551974,204393.19193878316,,2643723.441842154,565031.0885505786,1926527.0,4894.851238444506,17529.71701098105
2020-06-07,110574.0,90863.46613144856,53702.23435004376,207880.4124679301,,2652430.447501151,566891.9976031877,1944298.0,4743.267670367481,16986.857397386455
2020-06-08,111067.0,91246.47092125293,53744.07126504711,211386.70993277273,,2660867.814938113,568695.278094617,1961770.0,4596.378336495267,16460.809039780048
2020-06-09,112013.0,91617.6148332081,53783.14321160792,214912.20112290315,,,,1979857.0,4454.0378659604985,
2020-06-10,112934.0,91977.26517453087,53819.63280187823,218457.00299805193,,,,2000691.0,4316.105389735331,
2020-06-11,113822.0,92325.77787768199,53853.71060094584,222021.2327188953,,,,2023579.0,4182.44440121866,
2020-06-12,114668.0,92663.49785261926,53885.535920014474,225605.00767573557,,,,2048975.0,4052.9226211406267,
2020-06-13,115435.0,92990.75932814191,53915.2575575537,229208.44551525303,,,,2074515.0,,
2020-06-14,115731.0,93307.88618266438,53943.014491806694,232831.66416550637,,,,2094047.0,,
2020-06-15,116126.0,93615.19226474663,53968.936527826714,236474.78185934018,,,,2114015.0,,
2020-06-16,116962.0,93912.98170369824,53993.14490200926,240137.91715634154,,,,2137720.0,,
